PNODENAME,LAT,LON,ISO,NODETYPE
PJM,40.01712154,-80.42187559,PJMISO,ZONE
PJM-RTO,39.5367,-78.7261,PJMISO,ZONE
MID-ATL/APS,39.5917,-79.292,PJMISO,ZONE
RTEP B0287 SOURCE-OLD,39.7339,-76.2447,PJMISO,AGGREGATE
UN.FRNKLNSQ13.810CC,41.81634201,-71.40550013,NEISO,GENERATOR
UN.FRNKLNSQ13.811CC,41.81634201,-71.40550013,NEISO,GENERATOR
UN.FRNKLNSQ13.89CC,41.81634201,-71.40550013,NEISO,GENERATOR
UN.CDEC    13.8AETN,41.78296404,-72.70443698,NEISO,GENERATOR
UN.ALTRESCO13.8ALTR,42.44821649,-73.2062452,NEISO,GENERATOR
UN.EDDY    34.5AMOS,43.00299228,-71.47309355,NEISO,GENERATOR
UN.GULFISLD34.5GULF,44.15131047,-70.20855063,NEISO,GENERATOR
UN.ASCUTNEY46  ASCU,43.40109078,-72.41942716,NEISO,GENERATOR
UN.PEMIGWAS34.5AYER,43.59674743,-71.70937159,NEISO,GENERATOR
UN.ROXBURY 34.5AZIS,44.9439,-70.9975,NEISO,GENERATOR
UN.ELLSWRTH34.5BARH,44.381202,-68.28487,NEISO,GENERATOR
UN.BELLWSFL6.9 BELL,43.13257744,-72.4418968,NEISO,GENERATOR
UN.BERLINVT34.5BERL,44.22171023,-72.55858713,NEISO,GENERATOR
UN.WHITEFLD34.5BETH,44.41614837,-71.4770813,NEISO,GENERATOR
UN.PEQUONCK20.0BHR2,41.17757158,-73.1976571,NEISO,GENERATOR
UN.PEQUONCK22.0BHR3,41.17757158,-73.1976571,NEISO,GENERATOR
UN.PEQUONCK13.8BHR4,41.17757158,-73.1976571,NEISO,GENERATOR
UN.JACKMAN 34.5BIO,43.11203438,-71.92611742,NEISO,GENERATOR
UN.CATALYST115 BOIS,44.55070797,-70.5428625,NEISO,GENERATOR
UN.MIDDLESX34.5BOLT,44.28917786,-72.67957099,NEISO,GENERATOR
UN.PERRY_ST13.8BOOT,42.6388479,-71.30225643,NEISO,GENERATOR
UN.BPT_RESC13.8BPTR,41.16998775,-73.18541462,NEISO,GENERATOR
UN.BRAYTNPT18.0BRA1,41.7125,-71.1914,NEISO,GENERATOR
UN.BRAYTNPT18.0BRA2,41.7125,-71.1914,NEISO,GENERATOR
UN.BRAYTNPT20.0BRA3,41.7125,-71.1914,NEISO,GENERATOR
UN.BRAYTNPT22  BRA4,41.7125,-71.1914,NEISO,GENERATOR
UN.BRAYTNPT115 BRAD,41.7125,-71.1914,NEISO,GENERATOR
UN.BRANFORD23  BRAN,41.29241594,-72.80083288,NEISO,GENERATOR
UN.FORESTVL13.8BRF,41.643781,-72.873801,NEISO,GENERATOR
UN.ASHLAND 34.5BRID,43.69156592,-71.63727811,NEISO,GENERATOR
UN.TOPSHAM 34.5BRUN,43.95954287,-69.97672554,NEISO,GENERATOR
UN.BEARSWMP13.8BSW1,42.68390377,-72.94976943,NEISO,GENERATOR
UN.BEARSWMP13.8BSW2,42.68390377,-72.94976943,NEISO,GENERATOR
UN.POTTER  13.8BTRD,42.2350469,-70.96675773,NEISO,GENERATOR
UN.BULLSBDG27.6BULL,41.65896876,-73.49142377,NEISO,GENERATOR
UN.QUEENCTY13.8BURL,44.44574863,-73.21853373,NEISO,GENERATOR
UN.CANAL   18.0CAN1,41.769104,-70.510674,NEISO,GENERATOR
UN.CANAL   18.0CAN2,41.769104,-70.510674,NEISO,GENERATOR
UN.CAPE    13.2CAP4,43.6426648,-70.25478818,NEISO,GENERATOR
UN.CAPE    13.2CAP5,43.6426648,-70.25478818,NEISO,GENERATOR
UN.LOUDEN  34.5CATR,43.529291,-70.503305,NEISO,GENERATOR
UN.COSCOB  13.8CC10,41.0289484,-73.5979204,NEISO,GENERATOR
UN.COSCOB  13.8CC11,41.02894947,-73.59796257,NEISO,GENERATOR
UN.COSCOB  13.8CC12,41.02895048,-73.59796403,NEISO,GENERATOR
UN.TAUNTON 13.8CL9C,41.8653,-71.1061,NEISO,GENERATOR
UN.TAUNTON 13.8CLE8,41.8653,-71.1061,NEISO,GENERATOR
UN.COBBLEMT69  COBB,42.14562838,-72.88507883,NEISO,GENERATOR
UN.COMERFRD13.8COMF,44.32109966,-72.00337522,NEISO,GENERATOR
UN.MERIMACK13.8CT-1,43.16270764,-71.50743317,NEISO,GENERATOR
UN.MERIMACK13.8CT-2,43.16271076,-71.50742724,NEISO,GENERATOR
UN.DARTMTH 13.8DART,41.68041991,-71.00537663,NEISO,GENERATOR
UN.INDIAN  13.8DERB,41.3207,-73.089,NEISO,GENERATOR
UN.DEXTER  13.8DEXT,41.936346,-72.614791,NEISO,GENERATOR
UN.DEERFLD569  DFL5,42.7244,-72.9378,NEISO,GENERATOR
UN.DOREEN  23  DORE,42.4431,-73.2061,NEISO,GENERATOR
UN.DEVON   13.8DV10,41.20920811,-73.10730318,NEISO,GENERATOR
UN.DEVON   13.2DV11,41.20920811,-73.10730318,NEISO,GENERATOR
UN.DEVON   13.2DV12,41.20920811,-73.10730318,NEISO,GENERATOR
UN.DEVON   13.2DV13,41.20920811,-73.10730318,NEISO,GENERATOR
UN.DEVON   13.2DV14,41.20920811,-73.10730318,NEISO,GENERATOR
UN.WEBSTER 34.5EAST,43.45581715,-71.67280772,NEISO,GENERATOR
UN.ELLSWRTH34.5ELLS,44.52901562,-68.38154098,NEISO,GENERATOR
UN.WASHNGTN34.5EPTD,44.9136,-67.0033,NEISO,GENERATOR
UN.ESSEX   34.5ESSH,44.48122232,-73.11305759,NEISO,GENERATOR
UN.EXETER  115 EXTR,41.712835,-71.822671,NEISO,GENERATOR
UN.FALSVL  69  FALS,41.95598079,-73.36837225,NEISO,GENERATOR
UN.DEERFLD569  FIFE,42.6889,-72.9761,NEISO,GENERATOR
UN.FLORNCE 44  FLO1,43.708194,-73.06293352,NEISO,GENERATOR
UN.FLORNCE 44  FLO2,43.708194,-73.06293352,NEISO,GENERATOR
UN.FRAMNGHM13.8FMJ1,42.26815075,-71.39852938,NEISO,GENERATOR
UN.FRAMNGHM13.8FMJ2,42.26815075,-71.39852938,NEISO,GENERATOR
UN.FRAMNGHM13.8FMJ3,42.26815075,-71.39852938,NEISO,GENERATOR
UN.FRNKLNDR13.2FRDR,41.79937978,-73.11637657,NEISO,GENERATOR
UN.CHICOPEE13.8FRST,42.148701,-72.607864,NEISO,GENERATOR
UN.POWERSVL115 GNRT,45.644511,-68.707006,NEISO,GENERATOR
UN.ESSEX   34.5GORD,44.48122232,-73.11305759,NEISO,GENERATOR
UN.BERLN_NH34.5GORH,44.402998,-71.114911,NEISO,GENERATOR
UN.GUILFORD34.5GRNL,45.5063,-69.5874,NEISO,GENERATOR
UN.HARRIS  13.2HAR1,45.433962,-69.977862,NEISO,GENERATOR
UN.HARRIS  13.2HAR2,45.433962,-69.977862,NEISO,GENERATOR
UN.HARRIS  13.2HAR3,45.433962,-69.977862,NEISO,GENERATOR
UN.HARRIMAN115 HARR,42.75821976,-72.92984002,NEISO,GENERATOR
UN.NORTH_RD34.5HEMP,43.229819,-72.151606,NEISO,GENERATOR
UN.HOLYOKE 13.8HGE6,42.19974462,-72.59709776,NEISO,GENERATOR
UN.HOLYOKE 13.8HGE8,42.19974486,-72.59709878,NEISO,GENERATOR
UN.W_BUXTON34.5HIRM,43.85298,-70.795124,NEISO,GENERATOR
UN.ENFLD_ME115 IND5,45.245766,-68.601791,NEISO,GENERATOR
UN.WASHNGTN34.5IND6,44.675444,-67.546365,NEISO,GENERATOR
UN.KING_ST 23  IPSD,42.73655223,-71.01232275,NEISO,GENERATOR
UN.JACKMAN 34.5JACK,43.11203438,-71.92611742,NEISO,GENERATOR
UN.JOHNSTON23  JNLF,41.81448809,-71.47464838,NEISO,GENERATOR
UN.KENDALL 13.8KDJ1,42.3633,-71.0792,NEISO,GENERATOR
UN.S_BROADW23  LAWH,42.6994,-71.1653,NEISO,GENERATOR
UN.WINSLOW 34.5LCKW,44.5489,-69.6169,NEISO,GENERATOR
UN.LENERGIA13.8LENR,42.628894,-71.298977,NEISO,GENERATOR
UN.LISBON  115 LISB,41.6063238,-71.97723621,NEISO,GENERATOR
UN.LVER-AEI115 LIVR,44.43181796,-70.16166881,NEISO,GENERATOR
UN.LOSTNATN34.5LOST,44.59400079,-71.49451351,NEISO,GENERATOR
UN.LOWRDFLD69  LOWD,42.552631,-72.691581,NEISO,GENERATOR
UN.K_STREET115 LST,42.33940551,-71.03835986,NEISO,GENERATOR
UN.RAILYARD23  MARB,42.516452,-70.959318,NEISO,GENERATOR
UN.BERLINVT34.5MARH,44.36219272,-72.30557972,NEISO,GENERATOR
UN.MBTA    14.4MBTA,42.33924492,-71.0313888,NEISO,GENERATOR
UN.COMERFRD34.5MCIN,44.32109966,-72.00337522,NEISO,GENERATOR
UN.EAST_AVE34.5MCNL,44.48065778,-73.18860737,NEISO,GENERATOR
UN.CHSTERME46  MEDW,45.618055,-68.578263,NEISO,GENERATOR
UN.LOUDEN  34.5MERC,43.529291,-70.503305,NEISO,GENERATOR
UN.MIDDLETN115 MI10,41.55451127,-72.57797534,NEISO,GENERATOR
UN.MIDDLETN115 MID1,41.55451127,-72.57797534,NEISO,GENERATOR
UN.MIDDLETN13.2MID2,41.55451127,-72.57797534,NEISO,GENERATOR
UN.MIDDLETN20.9MID3,41.55451127,-72.57797534,NEISO,GENERATOR
UN.LAUREL  22  MID4,41.55451127,-72.57797534,NEISO,GENERATOR
UN.MILSTONE24.0MIL2,41.31469723,-72.1650083,NEISO,GENERATOR
UN.MILSTONE24.0MIL3,41.31469723,-72.1650083,NEISO,GENERATOR
UN.MILFORD 13.8MILF,42.12976066,-71.51177104,NEISO,GENERATOR
UN.TOPSHAM 34.5MILR,43.95954287,-69.97672554,NEISO,GENERATOR
